year,sample,serial,cbserial,hhwt,cluster,strata,gq,pernum,perwt,sex,age,ageorig,hcovany,educ,educd,empstat,empstatd,labforce,occ,ind,uhrswork,inctot,incwage,poverty
2023,2023 acs,57246,2023001222417,200,2023000572461,190904,households under 1970 definition,1,200,female,29,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",1430,3590,40,48000,47000,309
2023,2023 acs,996766,2023000401220,42,2023009967661,310837,households under 1970 definition,2,46,male,42,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",735,8562,75,70000,70000,231
2023,2023 acs,209276,2023001175621,234,2023002092761,711106,households under 1970 definition,1,234,male,94,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,35200,0,246
2023,2023 acs,20941,2023001173286,29,2023000209411,250001,households under 1970 definition,5,33,male,11,,with health insurance coverage,"grade 5, 6, 7, or 8",grade 5,n/a,n/a,n/a,0,0,n/a,9999999,n/a,0
2023,2023 acs,848121,2023000408252,62,2023008481211,60334,households under 1970 definition,1,62,male,81,,with health insurance coverage,n/a or no schooling,no schooling completed,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,6300,0,67
2023,2023 acs,840208,2023000085104,54,2023008402081,60534,households under 1970 definition,2,79,male,46,,no health insurance coverage,"grade 5, 6, 7, or 8",grade 6,employed,at work,"yes, in the labor force",8990,2670,40,42000,42000,119
2023,2023 acs,1387908,2023000046151,83,2023013879081,5700149,households under 1970 definition,2,104,female,65,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",employed,at work,"yes, in the labor force",4700,4771,40,158000,140000,501
2023,2023 acs,659397,2023000294599,142,2023006593971,50325,households under 1970 definition,2,138,female,75,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,9000,0,428
2023,2023 acs,338593,2023000622951,146,2023003385931,210312,households under 1970 definition,3,150,female,37,,no health insurance coverage,"grade 5, 6, 7, or 8",grade 8,employed,at work,"yes, in the labor force",7700,1590,40,28000,28000,198
2023,2023 acs,1101303,2023000826107,115,2023011013031,2120040,households under 1970 definition,1,114,female,37,,no health insurance coverage,1 year of college,"1 or more years of college credit, no degree",employed,at work,"yes, in the labor force",4760,5191,60,53000,47000,175
